true,"To był wspaniały dzień, pełen radości i uśmiechu."
false,"Nie podoba mi się ten film, był naprawdę nudny."
true,"Kocham tę piosenkę, jest po prostu niesamowita!"
false,"Czuję się źle po tym posiłku, to było okropne."
true,"Fantastyczna obsługa w restauracji, wrócę tu na pewno!"
false,"To było rozczarowujące doświadczenie, nie polecam."
true,"Mój nowy laptop działa świetnie, jestem bardzo zadowolony."
false,"Nie mogłem znaleźć tego, czego szukałem, bardzo frustrujące."
true,"Spotkanie z przyjaciółmi było bardzo miłe."
false,"Nie lubię tego miejsca, jest zbyt zatłoczone."
